# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# cor_z=1 if z_obs correct host, 0 otherwise
# z_obs  z_shifted   mu_t   mu_o   type   cor_z
0.713 0.630 43.258 43.272 1 1
0.754 0.714 43.261 43.262 1 1
0.715 0.754 43.263 43.049 1 1
0.717 0.715 43.264 42.759 1 1
0.715 0.649 43.265 44.694 0 1
0.717 0.583 43.273 43.227 1 1
0.718 0.847 43.275 43.100 1 1
0.718 0.691 43.275 43.430 1 1
0.719 0.644 43.278 43.419 1 1
0.720 0.604 43.283 43.280 1 1
0.720 0.731 43.283 42.971 1 1
0.720 0.776 43.283 43.259 1 1
0.720 0.581 43.284 43.226 1 1
0.721 0.620 43.286 43.478 1 1
0.723 0.704 43.293 43.719 1 1
0.725 0.701 43.300 43.429 1 1
0.725 0.689 43.302 43.123 1 1
0.727 0.675 43.308 43.297 1 1
0.727 0.633 43.308 43.352 1 1
0.729 0.723 43.315 43.120 1 1
0.729 0.631 43.315 43.430 1 1
0.730 0.612 43.318 43.436 1 1
0.730 0.745 43.320 43.593 1 1
0.731 0.746 43.323 42.989 1 1
0.732 1.009 43.328 43.222 1 1
0.733 0.665 43.329 43.066 1 1
0.733 0.660 43.332 43.343 1 1
0.735 0.826 43.337 43.193 1 1
0.735 0.773 43.339 43.362 1 1
0.736 0.536 43.342 43.076 1 1
0.737 0.875 43.344 43.128 1 1
0.737 0.778 43.345 43.021 1 1
0.740 0.702 43.356 43.387 1 1
0.745 0.846 43.374 43.140 1 1
0.746 0.805 43.376 43.227 1 1
0.746 0.725 43.376 43.267 1 1
0.746 0.736 43.378 43.487 1 1
0.747 0.756 43.382 43.541 1 1
0.749 0.791 43.387 44.414 0 1
0.749 0.637 43.388 43.314 1 1
0.750 0.695 43.392 43.279 1 1
0.754 0.580 43.404 43.236 1 1
0.762 0.768 43.432 43.565 1 1
0.762 0.656 43.433 43.277 1 1
0.762 0.842 43.435 43.234 1 1
0.763 0.729 43.435 43.341 1 1
0.763 0.737 43.437 42.640 0 1
0.763 0.613 43.439 43.052 1 1
0.764 1.084 43.440 43.388 1 1
0.765 0.714 43.445 43.436 1 1
0.766 0.734 43.448 43.455 1 1
0.767 0.730 43.450 43.575 1 1
0.767 0.778 43.451 43.502 1 1
0.768 0.666 43.454 43.372 1 1
0.768 0.877 43.455 43.458 1 1
0.771 0.683 43.464 43.779 1 1
0.773 0.849 43.471 43.196 1 1
0.774 0.799 43.475 43.391 1 1
0.775 0.740 43.477 43.310 1 1
0.775 0.567 43.479 43.702 1 1
0.776 0.791 43.482 43.411 1 1
0.776 0.618 43.483 43.313 1 1
0.777 0.675 43.484 43.516 1 1
0.777 0.812 43.485 43.291 1 1
0.777 0.818 43.486 43.408 1 1
0.777 0.626 43.487 43.483 1 1
0.778 0.842 43.490 43.543 1 1
0.779 0.806 43.492 43.564 1 1
0.780 0.846 43.496 43.375 1 1
0.781 0.746 43.499 43.524 1 1
0.783 0.777 43.504 43.392 1 1
0.783 0.719 43.506 43.508 1 1
0.876 0.783 43.506 43.455 1 1
0.784 0.779 43.509 43.613 1 1
0.621 0.785 43.512 43.515 1 1
0.786 0.794 43.517 43.437 1 1
0.787 0.716 43.518 43.459 1 1
0.788 0.854 43.521 43.380 1 1
0.789 0.645 43.526 43.558 1 1
0.789 0.910 43.527 43.634 1 1
0.790 0.777 43.530 43.487 1 1
0.791 1.059 43.532 43.228 1 1
0.792 0.584 43.536 43.545 1 1
0.771 0.792 43.536 43.402 1 1
0.721 0.793 43.538 43.626 1 1
0.794 0.788 43.542 43.402 1 1
0.795 0.906 43.545 43.600 1 1
0.797 0.895 43.552 43.416 1 1
0.798 0.938 43.555 43.372 1 1
0.798 0.881 43.557 43.615 1 1
0.799 0.643 43.560 43.811 1 1
0.800 0.618 43.562 43.313 1 1
0.800 0.805 43.562 43.378 1 1
0.802 0.784 43.569 43.729 1 1
0.802 0.651 43.571 43.820 1 1
0.803 0.891 43.573 43.525 1 1
0.804 0.936 43.577 43.343 1 1
0.804 0.932 43.578 43.549 1 1
0.805 0.635 43.578 43.473 1 1
0.805 0.966 43.579 43.475 1 1
0.806 0.892 43.583 43.804 1 1
0.806 0.865 43.583 43.788 1 1
0.807 0.940 43.585 43.701 1 1
0.810 0.805 43.595 43.817 1 1
0.811 0.914 43.600 43.776 1 1
0.812 0.750 43.603 44.069 1 1
0.812 0.881 43.604 44.343 0 1
0.814 0.628 43.609 43.603 1 1
0.815 0.858 43.611 46.108 0 1
0.815 0.899 43.612 43.164 1 1
0.816 0.699 43.615 43.797 1 1
0.817 0.936 43.618 44.082 1 1
0.819 0.821 43.626 43.844 1 1
0.819 0.737 43.627 43.712 1 1
0.821 0.751 43.630 43.561 1 1
0.822 0.957 43.636 43.772 1 1
0.822 0.753 43.636 43.487 1 1
0.838 0.827 43.652 43.702 1 1
0.827 0.894 43.652 43.490 1 1
0.828 0.882 43.654 43.539 1 1
0.832 0.749 43.667 43.411 1 1
0.833 0.825 43.670 45.802 0 1
0.833 1.026 43.672 43.359 1 1
0.835 0.951 43.678 43.903 1 1
0.836 0.686 43.680 43.730 1 1
0.836 0.903 43.680 43.594 1 1
0.836 0.776 43.680 44.036 1 1
0.837 0.821 43.682 43.771 1 1
0.837 0.779 43.683 43.524 1 1
0.837 0.863 43.684 43.772 1 1
0.838 0.834 43.686 43.760 1 1
0.839 0.920 43.690 43.714 1 1
0.841 0.770 43.695 43.678 1 1
0.843 0.697 43.702 43.969 1 1
0.844 0.704 43.704 43.594 1 1
0.844 0.815 43.706 43.838 1 1
0.845 0.819 43.707 43.663 1 1
0.846 0.989 43.711 43.805 1 1
0.847 0.534 43.714 43.843 1 1
0.847 0.772 43.714 43.841 1 1
0.847 0.701 43.715 43.680 1 1
0.849 0.913 43.720 43.911 1 1
0.849 0.860 43.721 43.733 1 1
0.849 0.826 43.722 43.754 1 1
0.851 0.901 43.726 43.850 1 1
0.851 0.885 43.728 44.016 1 1
0.856 0.763 43.744 43.639 1 1
0.829 0.857 43.747 43.615 1 1
0.857 0.968 43.748 43.606 1 1
0.858 1.115 43.748 43.650 1 1
0.858 0.715 43.750 43.689 1 1
0.858 0.899 43.751 43.551 1 1
0.859 0.830 43.751 43.740 1 1
0.859 0.925 43.754 44.308 1 1
0.808 0.860 43.756 43.864 1 1
0.865 1.031 43.771 43.644 1 1
0.866 0.991 43.774 44.280 1 1
0.866 0.743 43.775 43.761 1 1
0.868 0.891 43.779 43.641 1 1
0.868 0.800 43.779 43.873 1 1
0.994 0.870 43.786 43.423 1 1
0.962 0.871 43.789 43.930 1 1
0.871 0.841 43.790 43.680 1 1
0.872 0.869 43.794 47.945 0 1
0.874 0.902 43.798 43.829 1 1
0.875 0.728 43.801 43.778 1 1
0.875 0.946 43.801 43.783 1 1
0.877 0.842 43.807 44.458 0 1
0.877 0.902 43.809 43.831 1 1
0.928 0.879 43.813 43.802 1 1
0.810 0.879 43.815 43.603 1 1
0.880 0.950 43.816 43.782 1 1
0.929 0.880 43.817 43.454 1 1
0.884 0.992 43.830 44.065 1 1
0.884 1.005 43.830 43.436 1 1
0.886 0.832 43.835 43.872 1 1
0.887 0.968 43.837 44.019 1 1
0.887 0.730 43.838 43.823 1 1
0.887 0.813 43.840 43.946 1 1
0.889 0.820 43.844 44.081 1 1
0.891 0.978 43.849 44.245 1 1
0.958 0.893 43.856 43.668 1 1
0.894 1.039 43.859 43.868 1 1
0.895 1.000 43.862 44.167 1 1
0.896 0.944 43.864 43.817 1 1
0.777 0.896 43.864 43.905 1 1
0.898 1.070 43.871 43.851 1 1
0.899 0.770 43.873 43.918 1 1
0.899 0.898 43.873 44.118 1 1
0.899 0.819 43.875 43.817 1 1
0.899 0.856 43.875 43.767 1 1
0.902 0.827 43.882 43.971 1 1
0.902 0.973 43.882 43.549 1 1
0.902 0.864 43.883 43.926 1 1
0.903 1.041 43.885 43.702 1 1
0.903 0.998 43.885 43.899 1 1
0.904 1.092 43.889 43.621 1 1
1.004 0.904 43.889 43.663 1 1
0.905 1.150 43.891 44.071 1 1
0.905 0.747 43.891 43.824 1 1
0.906 0.795 43.894 43.705 1 1
0.906 0.983 43.894 44.091 1 1
0.908 0.903 43.902 44.062 1 1
0.910 0.995 43.906 43.860 1 1
0.911 0.712 43.910 44.223 1 1
0.913 0.819 43.914 43.823 1 1
0.913 1.044 43.917 43.981 1 1
1.070 0.915 43.920 44.140 1 1
0.916 0.745 43.924 44.142 1 1
0.916 0.961 43.925 43.868 1 1
0.917 0.978 43.927 43.846 1 1
0.917 0.955 43.927 45.892 0 1
0.919 0.939 43.932 43.949 1 1
0.921 0.828 43.939 43.914 1 1
0.922 1.016 43.941 43.788 1 1
0.923 0.874 43.944 43.544 1 1
1.046 0.924 43.947 43.891 1 1
0.925 0.925 43.949 43.831 1 1
0.925 0.957 43.950 44.044 1 1
0.926 0.758 43.952 43.846 1 1
0.926 0.927 43.953 44.307 1 1
0.926 0.907 43.954 44.033 1 1
0.929 0.902 43.961 43.944 1 1
1.067 0.929 43.962 43.972 1 1
0.929 0.778 43.962 43.986 1 1
0.931 1.057 43.966 47.487 0 1
0.931 1.011 43.968 43.902 1 1
0.932 0.907 43.970 43.632 1 1
0.932 0.919 43.971 43.946 1 1
0.933 0.900 43.974 43.735 1 1
0.934 0.709 43.976 43.848 1 1
0.934 0.906 43.977 44.027 1 1
0.935 0.950 43.978 43.895 1 1
0.935 1.104 43.979 43.774 1 1
0.936 0.883 43.981 44.174 1 1
0.936 0.892 43.982 43.930 1 1
0.937 0.835 43.984 44.006 1 1
0.937 0.936 43.986 43.854 1 1
0.938 1.085 43.987 43.998 1 1
0.938 0.860 43.988 44.147 1 1
0.884 0.940 43.992 43.851 1 1
0.940 0.959 43.992 45.823 0 1
1.057 0.940 43.992 43.564 1 1
0.941 0.985 43.996 44.060 1 1
0.942 1.057 44.000 44.238 0 1
0.944 0.958 44.005 44.119 1 1
0.945 1.043 44.006 44.003 1 1
0.946 0.977 44.011 43.955 1 1
0.946 1.115 44.011 43.969 1 1
0.884 0.947 44.013 44.396 1 1
0.947 0.837 44.014 43.955 1 1
0.948 0.820 44.015 43.756 1 1
0.950 0.941 44.021 44.339 1 1
0.950 0.923 44.022 44.171 1 1
0.950 0.808 44.023 43.933 1 1
0.951 0.814 44.025 44.292 1 1
0.952 0.750 44.027 44.154 1 1
0.952 0.798 44.028 44.144 1 1
0.953 0.991 44.030 44.206 1 1
0.954 0.883 44.031 44.335 1 1
0.954 0.987 44.033 44.098 1 1
0.954 1.142 44.034 43.981 1 1
0.955 0.903 44.035 43.505 1 1
0.946 0.955 44.037 44.087 1 1
0.958 0.884 44.043 44.067 1 1
0.958 1.245 44.044 44.176 1 1
0.958 0.984 44.045 43.592 1 1
0.963 0.959 44.045 44.460 1 1
0.869 0.959 44.047 44.274 1 1
0.960 0.859 44.050 44.255 1 1
0.961 0.903 44.051 44.264 1 1
0.961 1.040 44.053 43.720 1 1
0.964 1.103 44.059 43.824 1 1
0.964 0.833 44.060 43.965 1 1
0.964 0.957 44.061 44.257 1 1
0.964 1.104 44.061 43.975 1 1
0.965 0.988 44.064 44.581 1 1
0.999 0.965 44.065 43.870 1 1
0.966 0.954 44.067 44.181 1 1
0.967 1.041 44.069 43.913 1 1
0.967 1.022 44.069 44.332 1 1
0.971 0.764 44.079 43.977 1 1
0.972 1.187 44.083 44.225 1 1
0.973 1.265 44.084 44.310 0 1
1.200 0.974 44.088 44.033 1 1
0.974 0.825 44.089 43.595 1 1
0.977 1.231 44.096 43.436 1 1
0.978 0.943 44.099 44.163 1 1
0.978 0.921 44.100 44.399 1 1
0.979 1.076 44.102 44.150 1 1
0.980 0.853 44.104 43.914 0 1
0.983 0.945 44.112 44.143 1 1
0.983 0.957 44.113 44.225 1 1
0.983 0.976 44.114 44.233 1 1
0.984 1.003 44.115 44.156 1 1
0.984 0.951 44.116 44.065 1 1
0.984 0.966 44.116 43.980 1 1
0.985 1.067 44.118 43.869 1 1
0.986 0.943 44.121 44.235 1 1
0.986 1.175 44.121 43.921 1 1
0.986 0.958 44.121 44.095 1 1
0.987 0.846 44.123 44.237 1 1
0.989 1.038 44.128 43.754 1 1
0.989 1.121 44.129 44.089 1 1
0.991 1.096 44.134 43.879 1 1
0.993 1.014 44.139 44.204 1 1
0.995 0.998 44.145 44.154 1 1
0.995 1.060 44.146 44.140 1 1
0.996 0.958 44.148 43.799 1 1
0.998 1.020 44.154 43.937 1 1
0.997 0.999 44.157 44.467 1 1
1.000 1.004 44.158 44.077 1 1
