# Error in z 0.04
# Error in mu 0.20 for Ia and 1.50 for nonaIa
# Type=1 for Ia, 0 otherwise
# z  z_shifted   mu_t   mu_o   type
0.750 0.840 43.391 45.260 0
0.751 0.839 43.394 45.792 0
0.751 0.789 43.396 43.080 1
0.752 0.625 43.398 48.274 0
0.752 0.838 43.400 46.793 0
0.753 0.724 43.403 48.663 0
0.754 0.819 43.404 45.872 0
0.758 0.712 43.419 43.430 1
0.758 0.649 43.420 43.225 1
0.758 0.888 43.421 46.518 0
0.758 0.669 43.421 45.969 0
0.759 0.898 43.424 48.436 0
0.760 0.859 43.426 42.946 0
0.763 0.773 43.437 49.540 0
0.763 0.683 43.438 43.204 1
0.764 0.729 43.440 44.026 0
0.764 0.834 43.441 44.586 0
0.767 0.575 43.452 45.924 0
0.768 0.881 43.456 44.417 0
0.769 0.707 43.458 44.052 0
0.769 0.677 43.459 44.171 0
0.770 0.713 43.460 48.379 0
0.770 0.861 43.463 43.447 1
0.771 0.842 43.465 42.430 0
0.772 0.739 43.468 43.777 1
0.773 0.826 43.471 45.903 0
0.774 0.634 43.476 43.623 1
0.775 0.843 43.478 43.464 1
0.775 0.900 43.480 47.601 0
0.776 0.816 43.483 45.711 0
0.777 0.930 43.487 45.025 0
0.778 0.914 43.489 47.229 0
0.779 0.747 43.491 45.950 0
0.780 0.814 43.494 45.249 0
0.781 0.823 43.500 43.204 1
0.784 0.717 43.511 44.846 0
0.785 0.872 43.514 47.052 0
0.786 0.693 43.515 45.477 0
0.791 0.763 43.533 43.394 1
0.792 0.788 43.538 43.670 1
0.794 0.715 43.541 46.192 0
0.795 0.792 43.547 45.136 0
0.795 0.702 43.548 44.932 0
0.797 0.776 43.552 48.125 0
0.798 0.801 43.555 45.632 0
0.798 0.748 43.557 44.720 0
0.799 0.930 43.559 47.083 0
0.800 0.684 43.562 43.485 1
0.802 0.695 43.571 44.615 0
0.802 0.618 43.571 46.724 0
0.803 0.881 43.571 45.008 0
0.803 0.866 43.573 43.436 1
0.803 0.781 43.574 46.451 0
0.806 0.763 43.582 45.908 0
0.806 0.766 43.583 43.019 0
0.808 0.853 43.589 45.083 0
0.815 0.851 43.613 43.377 0
0.817 0.929 43.620 43.748 1
0.818 0.821 43.621 43.712 1
0.818 0.872 43.622 43.877 1
0.819 0.781 43.625 43.653 1
0.821 0.661 43.632 45.687 0
0.822 0.753 43.634 46.529 0
0.822 0.998 43.637 44.364 0
0.826 0.737 43.647 45.022 0
0.827 0.909 43.652 42.190 0
0.829 0.879 43.658 43.529 1
0.830 0.818 43.660 43.492 1
0.830 0.788 43.662 47.292 0
0.831 0.821 43.663 45.404 0
0.831 0.898 43.664 44.600 0
0.832 0.878 43.666 46.420 0
0.833 0.800 43.669 43.915 1
0.835 0.831 43.677 43.088 0
0.837 0.797 43.682 43.742 1
0.838 0.984 43.685 46.190 0
0.838 0.833 43.688 47.974 0
0.841 0.849 43.695 45.727 0
0.841 0.782 43.696 48.300 0
0.843 0.751 43.701 45.207 0
0.843 0.752 43.703 43.995 1
0.843 0.851 43.703 43.525 1
0.844 0.747 43.705 45.498 0
0.844 0.939 43.707 43.003 0
0.846 0.730 43.711 44.904 0
0.846 0.850 43.713 43.735 1
0.847 0.753 43.716 45.378 0
0.848 0.952 43.718 47.596 0
0.848 0.773 43.719 45.378 0
0.849 1.021 43.720 45.970 0
0.849 0.905 43.723 47.160 0
0.853 0.884 43.733 42.738 0
0.853 0.892 43.734 43.591 0
0.855 0.765 43.739 45.064 0
0.855 0.879 43.742 43.872 0
0.856 0.953 43.743 46.899 0
0.856 0.907 43.743 43.807 1
0.856 0.879 43.744 44.228 0
0.859 0.844 43.753 43.804 0
0.859 0.834 43.754 42.223 0
0.860 0.749 43.755 45.826 0
0.861 0.869 43.757 44.530 0
0.862 0.838 43.763 46.042 0
0.863 0.893 43.765 45.991 0
0.864 0.933 43.769 43.674 1
0.864 0.937 43.769 47.274 0
0.867 0.873 43.776 46.172 0
0.868 0.897 43.782 46.152 0
0.869 0.880 43.783 46.512 0
0.870 0.910 43.786 49.276 0
0.871 0.783 43.789 44.945 0
0.873 0.816 43.796 45.733 0
0.874 0.790 43.798 46.960 0
0.875 0.884 43.801 46.210 0
0.875 0.952 43.802 43.926 1
0.876 0.890 43.805 48.000 0
0.877 0.861 43.808 43.722 0
0.879 0.899 43.814 46.542 0
0.879 1.009 43.815 46.046 0
0.880 0.843 43.816 49.323 0
0.881 0.750 43.819 43.277 1
0.881 0.925 43.820 46.399 0
0.881 0.872 43.820 48.565 0
0.882 0.883 43.822 44.731 0
0.884 0.681 43.830 43.709 1
0.887 0.932 43.837 43.749 1
0.888 0.896 43.840 45.550 0
0.888 0.834 43.840 46.824 0
0.888 0.819 43.842 43.454 1
0.888 0.842 43.842 43.671 1
0.889 0.830 43.843 44.376 0
0.889 0.913 43.844 46.027 0
0.892 0.778 43.854 46.906 0
0.892 0.942 43.854 43.586 0
0.897 0.809 43.869 43.993 0
0.898 0.810 43.871 44.114 0
0.898 0.962 43.871 43.713 1
0.899 0.916 43.874 45.827 0
0.901 0.863 43.879 46.958 0
0.901 0.897 43.880 47.543 0
0.901 0.872 43.881 43.575 0
0.902 0.866 43.882 47.039 0
0.903 0.968 43.886 43.617 1
0.904 0.932 43.890 43.754 1
0.905 0.843 43.891 44.058 1
0.905 0.760 43.893 47.311 0
0.906 0.773 43.894 44.855 0
0.908 0.829 43.901 47.533 0
0.910 0.886 43.906 46.125 0
0.910 0.757 43.907 44.902 0
0.911 0.859 43.909 46.866 0
0.911 0.833 43.910 46.517 0
0.912 0.849 43.912 45.678 0
0.914 0.919 43.919 46.445 0
0.914 0.745 43.920 44.958 0
0.916 0.922 43.923 46.433 0
0.920 0.995 43.936 43.196 0
0.921 0.939 43.938 43.733 1
0.921 0.957 43.938 43.884 1
0.921 0.927 43.939 44.007 1
0.921 0.958 43.939 44.087 1
0.922 0.858 43.942 44.426 0
0.923 0.950 43.945 45.667 0
0.925 0.998 43.950 45.503 0
0.926 0.893 43.952 43.766 1
0.926 0.894 43.954 48.409 0
0.927 0.988 43.956 45.496 0
0.929 0.903 43.961 44.027 1
0.929 0.871 43.963 45.611 0
0.931 0.842 43.968 47.579 0
0.932 0.986 43.971 47.231 0
0.933 0.917 43.974 44.264 0
0.933 0.876 43.974 47.168 0
0.934 0.845 43.976 43.996 1
0.936 0.776 43.982 43.342 0
0.937 0.967 43.984 46.516 0
0.938 0.803 43.987 44.272 0
0.944 0.970 44.004 44.415 0
0.944 0.813 44.005 44.046 1
0.945 0.819 44.007 44.994 0
0.946 0.957 44.010 44.275 0
0.946 0.791 44.011 44.073 1
0.948 0.830 44.015 43.690 0
0.949 1.027 44.018 47.004 0
0.950 0.746 44.022 44.145 1
0.950 0.994 44.023 45.164 0
0.951 0.963 44.026 44.279 0
0.952 0.930 44.027 44.074 1
0.954 1.070 44.032 44.004 1
0.956 0.950 44.037 45.446 0
0.957 1.056 44.041 46.272 0
0.957 0.823 44.041 43.813 1
0.959 1.057 44.046 46.927 0
0.959 0.896 44.046 48.767 0
0.961 0.866 44.053 46.896 0
0.962 0.917 44.054 44.041 1
0.963 0.902 44.058 46.323 0
0.964 0.845 44.059 47.071 0
0.964 0.772 44.060 47.477 0
0.965 0.881 44.063 48.054 0
0.967 0.878 44.068 46.173 0
0.967 0.953 44.069 46.321 0
0.969 1.074 44.074 44.191 1
0.969 1.033 44.074 43.978 1
0.970 0.914 44.076 47.007 0
0.972 1.167 44.083 46.809 0
0.974 0.920 44.089 47.921 0
0.976 1.094 44.093 46.908 0
0.976 1.058 44.095 43.974 1
0.981 0.983 44.107 44.299 1
0.981 0.979 44.108 44.586 0
0.983 0.976 44.112 47.710 0
0.984 0.992 44.115 47.283 0
0.986 0.977 44.121 48.966 0
0.987 1.082 44.123 47.036 0
0.987 1.016 44.123 47.545 0
0.988 1.116 44.125 45.543 0
0.988 0.988 44.126 44.163 1
0.988 0.930 44.127 43.774 1
0.989 0.951 44.128 46.271 0
0.990 0.828 44.131 44.331 1
0.992 0.956 44.136 46.546 0
0.992 0.887 44.138 43.865 1
0.993 0.947 44.140 47.361 0
0.993 0.987 44.141 43.977 0
0.994 0.966 44.142 43.753 1
0.998 1.008 44.153 46.724 0
0.998 0.994 44.154 48.039 0
0.999 1.053 44.156 43.827 0
0.999 1.082 44.157 45.807 0
1.000 0.985 44.158 44.115 1
